28|40|17|33|20|53|43|45|9|36|51|10|7|44|49|3|38|16|70|52|35|0|63|60|36|51|38|30|28|4|49|65|20|60|53|57|16|22|40|9|38|15|24|33|34
44|1|12|15|23|49|59|56|66|50|2|27|18|17|70|19|3|46|64|42|41|63|0|33|17|48|32|19|12|10|24|46|37|14|39|29|63|69|11|2|33|50|16|40|32
70|27|63|44|9|29|40|66|55|14|11|39|15|61|47|13|49|50|57|1|20|60|33|0|27|18|60|46|23|16|55|34|46|37|51|1|11|23|27|35|47|9|33|26|17
70|41|37|63|30|56|55|20|21|46|48|1|18|58|5|53|10|64|51|11|26|36|17|27|0|22|34|67|7|52|31|18|12|67|63|38|56|11|41|16|59|17|64|32|2
12|19|26|59|40|14|28|16|10|23|2|11|9|21|27|42|35|33|4|61|43|51|48|18|22|0|11|59|62|49|37|60|24|38|45|47|33|14|54|21|16|57|69|15|45
25|17|5|66|18|19|10|44|48|62|7|55|20|50|42|33|22|65|37|40|43|38|32|60|34|11|0|69|57|59|66|43|8|9|44|27|7|25|8|47|70|16|55|27|39
25|70|32|38|17|63|9|8|68|18|64|39|5|51|36|11|65|52|21|14|10|30|19|46|67|59|69|0|61|61|40|23|26|57|5|5|42|30|16|20|37|55|20|12|70
36|16|51|58|4|26|52|29|43|66|24|46|53|31|32|20|45|65|44|3|60|28|12|23|7|62|57|61|0|56|30|53|39|26|17|7|1|67|29|23|43|37|39|52|66
39|55|9|50|6|5|67|54|58|60|11|35|25|31|64|46|66|21|3|48|1|4|10|16|52|49|59|61|56|0|27|39|52|12|15|65|62|63|36|11|8|42|43|5|53
20|35|28|60|26|39|38|12|16|23|52|43|17|32|57|45|63|59|61|1|8|49|24|55|31|37|66|40|30|27|0|38|22|55|12|53|69|55|48|26|34|24|18|17|1
31|51|56|63|28|54|9|69|25|36|24|59|66|13|61|49|68|55|57|19|52|65|46|34|18|60|43|23|53|39|38|0|58|11|21|2|34|57|59|61|49|5|53|35|5
30|55|36|16|43|48|3|10|41|19|50|7|47|17|23|13|56|25|60|64|29|20|37|46|12|24|8|26|39|52|22|58|0|70|2|50|37|10|7|48|67|8|14|59|15
18|59|13|29|16|40|19|27|1|20|63|21|53|65|31|3|46|10|43|6|15|60|14|37|67|38|9|57|26|12|55|11|70|0|26|69|10|70|21|52|24|12|27|37|6
56|8|7|48|20|18|64|28|58|22|57|60|25|49|19|10|4|61|31|41|50|53|39|51|63|45|44|5|17|15|12|21|2|26|0|42|30|52|69|60|46|6|26|62|43
3|28|33|49|13|68|15|17|35|39|16|31|6|44|51|46|26|22|67|9|58|57|29|1|38|47|27|5|7|65|53|2|50|69|42|0|67|42|65|67|61|7|12|10|13
23|12|61|22|53|24|70|54|55|25|9|48|21|57|44|20|35|38|31|68|66|16|63|11|56|33|7|42|1|62|69|34|37|10|30|67|0|37|50|55|63|54|49|36|36
33|12|60|32|64|9|49|15|66|41|27|54|68|34|17|1|44|6|51|20|35|22|69|23|11|14|25|30|67|63|55|57|10|70|52|42|37|0|55|19|5|18|8|49|56
3|19|4|2|13|28|30|44|67|38|57|12|47|46|6|25|9|42|64|37|23|40|11|27|41|54|8|16|29|36|48|59|7|21|69|65|50|55|0|64|44|46|32|2|67
6|40|56|66|17|43|4|69|51|54|65|27|39|32|45|31|25|10|33|37|3|9|2|35|16|21|47|20|23|11|26|61|48|52|60|67|55|19|64|0|45|53|7|28|42
68|35|36|57|40|50|14|39|65|62|42|13|51|48|26|28|15|17|4|9|20|38|33|47|59|16|70|37|43|8|34|49|67|24|46|61|63|5|44|45|0|51|35|19|12
43|58|66|69|26|62|29|56|27|47|2|61|32|67|40|60|68|36|48|1|64|15|50|9|17|57|16|55|37|42|24|5|8|12|6|7|54|18|46|53|51|0|62|23|51
17|41|42|34|22|63|68|21|23|9|6|2|10|5|66|25|37|36|29|46|60|24|16|33|64|69|55|20|39|43|18|53|14|27|26|12|49|8|32|7|35|62|0|20|14
4|47|14|63|38|50|56|39|18|8|7|42|54|1|53|45|25|67|60|48|57|33|40|26|32|15|27|12|52|5|17|35|59|37|62|10|36|49|2|28|19|23|20|0|47
26|65|10|35|52|28|46|61|9|8|25|23|50|11|7|58|44|19|24|3|60|34|32|17|2|45|39|70|66|53|1|5|15|6|43|13|36|56|67|42|12|51|14|47|0
